
--- By Score Bucket (Last 14 Days) ---
Bucket      Total   Wins  WinRate   RawRet   EffRet
0.50+           6      1    16.7%   -5.12%   -5.12%
0.45+           4      1    25.0%   -2.22%   -2.22%
0.40+          19      6    31.6%   +1.82%   +1.82%
0.35+          37     19    51.4%   +9.06%   +9.06%
0.30+          55     32    58.2%   +1.19%   +1.19%
0.25+          76     31    40.8%   +0.19%   +0.19%
0.20+          62     32    51.6%   -0.07%   -0.07%
0.15+          39     11    28.2%   -3.26%   -3.26%
0.10+          12      4    33.3%   -1.22%   -1.22%
0.00+         517    273    52.8%   +0.35%   +0.35%
============================================================
